,0
safety_amenity_score,0.22189290764267522
historical_crime_baseline,0.2066919883946059
locality_hotspot_percentile,0.20141671325183252
hospital_dist_km,0.1959123778311982
metro_dist_km,0.18031581714941658
hour_sin,0.1343483001682073
population_density_proxy,0.13021019304408687
police_station_dist_km,0.1277961012183655
reports_last_365d,0.1221014776916769
hour_cos,0.10544470760766522
report_trend_ratio,0.10501919219721723
reports_last_30d,0.06737815018113014
is_night,0.01989877335570034
month,0.015226389842715626
temperature_proxy,0.010729474760464264
market_density,0.010060798599652365
school_density,0.008449548479973146
