,0
hour_sin,0.13647288469483493
locality_hotspot_percentile,0.10414681193705505
historical_crime_baseline,0.09861204235942987
hour_cos,0.09022846036450678
reports_last_365d,0.07929846545386723
reports_last_30d,0.03705726616643176
temperature_proxy,0.03639763764001635
report_trend_ratio,0.027848836171862307
police_station_dist_km,0.027421326279143825
safety_amenity_score,0.026742973752331235
population_density_proxy,0.026124979321793675
hospital_dist_km,0.02599785337476346
metro_dist_km,0.02593512045664944
market_density,0.0203812295520396
school_density,0.01767564059880502
month,0.014965327661230012
is_night,0.013125413706144295
archetype_night_interaction_mixed_0,0.011147401359165112
weather_condition_Rainy,0.010690844272378184
area_type_residential,0.010379728650823348
archetype_night_interaction_residential_0,0.009960481898943163
season_monsoon,0.009680770200233698
archetype_night_interaction_residential_1,0.009514644495079362
weather_condition_Foggy,0.008085198480022418
archetype_night_interaction_market-zone_1,0.007745187130683331
season_winter,0.007230047963503357
area_type_transit-hub,0.0072143799476986825
area_type_mixed,0.007038945115489461
archetype_night_interaction_transit-hub_1,0.006775836236599217
archetype_night_interaction_transit-hub_0,0.006650620612293483
road_type_local,0.006035042369979013
season_spring,0.005439281504155259
area_type_market-zone,0.005406225008238337
archetype_night_interaction_mixed_1,0.005231174896510919
road_type_collector,0.004979607977492208
is_weekend,0.004524903698186203
archetype_weekend_interaction_residential_True,0.004011689473604475
archetype_weekend_interaction_residential_False,0.003920416494529735
day_of_week_Saturday,0.0038791855554920675
day_of_week_Sunday,0.0038543839389555312
archetype_night_interaction_market-zone_0,0.002931846382926763
archetype_weekend_interaction_mixed_False,0.002342206302626609
weather_condition_Cold-Clear,0.0022424208544012795
archetype_weekend_interaction_mixed_True,0.0022213253453728927
road_type_highway-adjacent,0.0021469597982215517
day_of_week_Monday,0.0020960423300945565
day_of_week_Tuesday,0.002063955353227023
archetype_night_interaction_commercial_1,0.0020512777637463507
archetype_weekend_interaction_transit-hub_True,0.002045495577124879
day_of_week_Wednesday,0.002006515802895296
weather_condition_Cloudy,0.0018758658393441098
archetype_weekend_interaction_transit-hub_False,0.001869206572712604
day_of_week_Thursday,0.001869167181812944
archetype_weekend_interaction_commercial_True,0.0015689734301316874
archetype_weekend_interaction_market-zone_True,0.001559112130933894
archetype_weekend_interaction_market-zone_False,0.0012813625634660695
