,0
hour_sin,0.1574042153022101
hour_cos,0.08490173905251236
area_type_residential,0.066911687441575
historical_crime_baseline,0.053801155929266875
locality_hotspot_percentile,0.047764567261702084
is_night,0.02206279662615017
area_type_transit-hub,0.015864331500734866
area_type_mixed,0.013129087084942231
reports_last_365d,0.012778974792577696
area_type_market-zone,0.010277770626242064
season_monsoon,0.008240830251810369
police_station_dist_km,0.006225598334546903
metro_dist_km,0.006055441129925135
weather_condition_Foggy,0.0058884557172601965
safety_amenity_score,0.005710069598139841
hospital_dist_km,0.004524770866208269
temperature_proxy,0.004303872472039658
population_density_proxy,0.003888173051707744
road_type_local,0.0035191728996228078
weather_condition_Rainy,0.0033675548156538726
month,0.0031945334036884987
report_trend_ratio,0.0027367193677575036
reports_last_30d,0.002429456320260412
season_winter,0.0024211514890311314
day_of_week_Saturday,0.0014033983739513561
is_weekend,0.0005868337140572805
season_spring,0.0003465345615730059
road_type_highway-adjacent,5.1832309304750135e-05
day_of_week_Thursday,-2.7502612198720966e-05
weather_condition_Cloudy,-4.3775932987141775e-05
road_type_collector,-0.0002944903478966504
weather_condition_Cold-Clear,-0.0003749064231178406
day_of_week_Tuesday,-0.0005278717437515595
day_of_week_Wednesday,-0.0005990940768202668
day_of_week_Monday,-0.0006189293645943728
day_of_week_Sunday,-0.0006230291441053776
